timestamp,agent.name,rule.description,rule.level,rule.id
"Sep 14, 2026 @ 15:47:06.662","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:46:57.918","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:46:55.924","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:46:26.805","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:46:26.800","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:46:09.823","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:46:09.822","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:45:09.813","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:45:09.812","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:44:13.974","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:44:09.813","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:44:09.811","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:43:59.625","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:43:59.584","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:43:15.869","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:43:12.911","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:43:12.910","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:43:09.820","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:43:09.817","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:43:09.167","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:43:00.675","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:43:00.661","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:43:00.647","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:43:00.629","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:43:00.612","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:43:00.564","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:43:00.531","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:43:00.522","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:42:41.573","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:42:25.240","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:42:25.240","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:42:11.853","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:42:11.848","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:42:11.806","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:42:11.804","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:42:09.836","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:42:09.835","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:42:06.575","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:42:06.556","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:42:06.553","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:41:09.795","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:41:09.790","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:40:19.767","Cyber-Svr","Wazuh agent disconnected.","3","504"
"Sep 14, 2026 @ 15:40:19.766","Cyber-Linux-cilent","Wazuh agent disconnected.","3","504"
"Sep 14, 2026 @ 15:40:19.765","Cyber-Window-cilent","Wazuh agent disconnected.","3","504"
"Sep 14, 2026 @ 15:40:09.800","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:40:09.800","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:39:09.747","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:39:09.746","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:38:13.615","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:38:11.187","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:38:09.792","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:38:09.778","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:38:07.609","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:38:00.687","Cyber-DC","Windows User Logoff","3","60137"
